Năm,A1_CN#1,A1_CN#2,A1_CN#3,A2_CN#1,A2_CN#2,A2_CN#3,A3_CN#1,A3_CN#2,A3_CN#3,A4_CN#1,A4_CN#2,A4_CN#3
1999,2.036594299,0.331893835,0.44683678,0.044579681,0.026148585,0.169283078,0.057539826,0.343001302,0.099026133,0,0.051625634,0.014668675
2000,1.946456618,0.318948625,0.393501529,0.009597772,0.046599148,0.124566533,0.063188628,0.365077511,0.08103931,0,0.051113401,0.011789513
2001,1.921580831,0.306700114,0.363535962,0.043535086,0.042147438,0.14235194,0.068647892,0.385965598,0.067053978,0,0.050628735,0.009550872
2002,1.7836406,0.265723974,0.330143323,0.01892177,0.050424083,0.285101457,0.065941572,0.376553463,0.06862648,0,0.044315659,0.008228822
2003,1.642810311,0.191271765,0.314836387,0.008913903,0.080831128,0.290945861,0.060931319,0.321838354,0.071343777,0,0.033701445,0.007593113
