Năm,A1_CN#1,A1_CN#2,A1_CN#3,A2_CN#1,A2_CN#2,A2_CN#3,A3_CN#1,A3_CN#2,A3_CN#3,A4_CN#1,A4_CN#2,A4_CN#3
2004,1.57893296,0.183898711,0.287624892,0.016263053,0.092467387,0.415682708,0.062414837,0.330192976,0.065079258,0,0.03262486,0.006211281
2005,1.491823462,0.1584436,0.266201369,0.014906679,0.116123365,0.557398893,0.06153545,0.318253516,0.062525644,0,0.028815137,0.005323042
2006,1.409519782,0.136511964,0.246373561,0.01366343,0.145831264,0.747429518,0.060668453,0.306745776,0.060072231,0,0.025450288,0.004561825
2007,1.331756784,0.117616088,0.228022612,0.01252387,0.183139349,1.002246133,0.059813672,0.295654145,0.057715085,0,0.022478366,0.003909466
2008,1.258283959,0.101335764,0.21103852,0.011479352,0.229991981,1.34393583,0.058970933,0.284963577,0.055450431,0,0.019853486,0.003350396
2009,1.188864619,0.087308949,0.195319475,0.010521949,0.288830945,1.802115725,0.058140069,0.274659569,0.053274638,0,0.017535122,0.002871276
2010,1.123275133,0.075223715,0.180771252,0.009644396,0.36272271,2.416500114,0.057320911,0.264728144,0.05118422,0,0.015487482,0.002460672
